filterTest,avg,count
"PCTChangeEQ0, ,BreakHighMonth6,HighMonth6GT0,(weekHighGTweek2High),(Recent), , , ",0.7504396314973354,3
"PCTChangeEQ0, ,BreakHighMonth6,HighMonth6GT2,(weekHighGTweek2High),(Recent), , , ",-1.36986301369863,1
"PCTChangeEQ0, ,BreakHighMonth6,HighMonth6GT5,(weekHighGTweek2High),(Recent), , , ",-1.6589891307494946,2
"PCTChangeEQ0, ,BreakHighYear,HighYearGT0,(weekHighGTweek2High), , , ",0.6105457909343116,1
"PCTChangeEQ0, ,BreakHighYear,HighYearGT0,(weekHighGTweek2High),(Recent), , , ",0.9042954031650468,1
"PCTChangeEQ0, ,BreakHighYear,HighYearGT2,(weekHighGTweek2High), , , ",2.943173736493155,2
"PCTChangeEQ0, ,BreakHighYear,HighYearGT2,(weekHighGTweek2High),(Recent), , , ",0.2690909090909124,1
"PCTChangeEQ0, ,BreakHighYear,HighYearGT5,(weekHighGTweek2High),(Recent), , , ",0.36523009495982467,1
"PCTChangeEQ0, ,BreakHighYear,HighYearGT7,(weekHighGTweek2High), , , ",0.4289544235924994,1
"PCTChangeEQ0, ,BreakHighYear2,HighYear2GT0,(weekHighGTweek2High),(Recent), , , ",0.43650016990341667,8
"PCTChangeEQ0, ,BreakHighYear2,HighYear2GT0,(weekHighGTweek2High),(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",1.3116057233704337,1
"PCTChangeEQ0, ,BreakHighYear2,HighYear2GT2,(weekHighGTweek2High), , , ",1.4092446448703495,1
"PCTChangeEQ0, ,BreakHighYear2,HighYear2GT2,(weekHighGTweek2High),(Recent), , , ",1.0090167139342532,3
"PCTChangeEQ0, ,BreakHighYear2,HighYear2GT5,(weekHighGTweek2High),(Recent), , , ",-0.16715909429644638,2
"PCTChangeEQ0, ,BreakLowMonth,LowMonthLT-2,(weekLowLTweek2Low), , , ",-1.693958215697346,1
"PCTChangeEQ0, ,BreakLowMonth,LowMonthLT-2,(weekLowLTweek2Low), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:DowningMA-Confirm, , ",-2.571428571428567,1
"PCTChangeEQ0, ,BreakLowMonth,LowMonthLT-2,(weekLowLTweek2Low),(Recent), , , ",-1.4908256880733912,1
"PCTChangeEQ0, ,BreakLowMonth,LowMonthLT-5,(weekLowLTweek2Low),(Recent), , , ",-0.16556291390728714,1
"PCTChangeEQ0, ,BreakLowMonth,LowMonthLT0, , , ",-3.466666666666659,1
"PCTChangeEQ0, ,BreakLowMonth,LowMonthLT0,(weekLowLTweek2Low), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:DowningMA-Confirm, , ",0.6048387096774039,1
"PCTChangeEQ0, ,BreakLowMonth3,LowMonth3LT-2,(weekLowLTweek2Low), , , ",1.063829787234047,1
"PCTChangeEQ0, ,BreakLowMonth3,LowMonth3LT-7,(weekLowLTweek2Low), , , ",-0.59887005649717,1
"PCTChangeEQ0, ,BreakLowMonth3,LowMonth3LT0,(weekLowLTweek2Low), , , ",-0.815217391304353,1
"PCTChangeEQ0, ,BreakLowMonth3,LowMonth3LT0,(weekLowLTweek2Low),(Recent), , , ",-0.03238681264040477,2
"PCTChangeEQ0, ,BreakLowMonth6,LowMonth6LT0,(weekLowLTweek2Low),(Recent), , , ",-0.5897219882055627,1
"PCTChangeEQ0, ,BreakLowYear,LowYearLT0,(weekLowLTweek2Low), ,$$(Study)$$:AllNegativeMA, , ",-1.8354860639020996,1
"PCTChangeEQ0, ,BreakLowYear,LowYearLT0,(weekLowLTweek2Low),(Recent), ,$$(Study)$$:AllNegativeMA, , ",-0.5797941730685606,1
"PCTChangeEQ0, ,BreakLowYear2,LowYear2LT-2,(weekLowLTweek2Low),(Recent), , , ",-0.2053191997326071,2
"PCTChangeEQ0, ,BreakLowYear2,LowYear2LT-2,(weekLowLTweek2Low),(Recent), ,$$(Study)$$:AllNegativeMA, , ",1.497964376590327,2
"PCTChangeEQ0, ,BreakLowYear2,LowYear2LT0,(Recent), ,$$(Study)$$:AllNegativeMA, , ",1.6253207869974338,1
"PCTChangeEQ0, ,BreakLowYear2,LowYear2LT0,(weekLowLTweek2Low),(Recent), , , ",-0.9057971014492754,1
"PCTChangeEQ0, ,BreakLowYear2,LowYear2LT0,(weekLowLTweek2Low),(Recent), ,$$(Study)$$:AllNegativeMA, , ",-0.6120814098549173,4
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-2, ,$$(Confirmed)$$:EMA6>EMA14, , ",0.4835924006908385,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-2,(Recent), , , ",-1.2245392212828665,5
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-2,(weekHighGTweek2High), , , ",-1.6620498614958488,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-2,(weekHighGTweek2High), ,$$(Confirmed)$$:EMA6>EMA14, , ",4.155038759689916,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-2,(weekHighGTweek2High),(Recent), , , ",1.4871794871794883,3
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-5,(Recent), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:RisingMA-Confirm, , ",-1.0452961672473893,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-5,(weekHighGTweek2High), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:RisingMA-Confirm, , ",-2.531645569620244,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-7, ,$$(Confirmed)$$:EMA6<EMA14, , ",0.4255319148936231,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-7,(Recent), , , ",1.8279080355110384,2
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-7,(Recent), ,$$(Confirmed)$$:EMA6<EMA14, , ",-3.8560411311053984,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-7,(Recent), ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ",-3.116147308781854,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT-7,(Recent), ,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",0.8878504672897223,1
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT0,(Recent), , , ",-0.4155874705955167,3
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT0,(weekHighGTweek2High), , , ",-0.8014206557513615,3
"PCTChangeEQ0, ,NearHighMonth,HighMonthLT0,(weekHighGTweek2High),(Recent), , , ",-1.6321191457324518,2
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-2,(Recent), , , ",1.5563728318221912,3
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",-0.6067338916424659,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-2,(Recent), ,$$(Confirmed)$$:EMA6>EMA14, , ",-1.3110846245530494,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-2,(weekHighGTweek2High), , , ",-1.7939054592441042,2
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-2,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High),(Recent), , , ",1.4331210191082804,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-2,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), , , ",4.371963913948655,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-2,BreakHighMonth,HighMonthGT5,(weekHighGTweek2High),(Recent), , , ",8.702633269107265,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-5, , , ",0.7299270072992652,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-5,(Recent), , , ",-0.8554393660824641,2
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-5,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm,$$(Confirmed)$$:EMA6<EMA14, , ",0.7594936708860687,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-5,(Recent), ,##SHORTTERM:CrossoverSMA100,$$(Study)$$:DowningMA, , ",-4.242424242424238,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-5,(weekHighGTweek2High), , , ",-2.557544757033248,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-5,(weekHighGTweek2High), ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ",-3.2768361581920966,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-5,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High),(Recent), , , ",2.461538461538453,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-7, , , ",-0.49142426120926447,6
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-7,(Recent), , , ",0.25985847425267405,4
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-7,(weekHighGTweek2High), , , ",0.631492297868076,3
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-7,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), , , ",0.16033147180688445,2
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-7,BreakHighMonth,HighMonthGT5,(weekHighGTweek2High), , , ",-1.9360269360269338,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT-7,BreakHighMonth,HighMonthGT7,(weekHighGTweek2High), , , ",-1.9607843137254901,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT0,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High),(Recent), , , ",-0.7647058823529479,1
"PCTChangeEQ0, ,NearHighMonth3,HighMonth3LT0,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), , , ",0.3636363636363688,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,(Recent), , , ",0.04692617232100127,2
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA, , ",-1.6910507315219414,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",0.12583892617448947,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",1.0388739946380774,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",2.2156133828996247,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,(Recent), ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ",0.36333147009502836,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,(Recent), ,$$(Study)$$:DowningMA-Risky, , ",-0.8,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,(weekHighGTweek2High),(Recent), , , ",-0.7692027560488875,2
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High),(Recent), , , ",3.753351206434332,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), , , ",1.3876251137397635,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,BreakHighMonth3,HighMonth3GT2,(weekHighGTweek2High), , , ",0.9601807399039755,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-2,BreakHighMonth3,HighMonth3GT5,(weekHighGTweek2High), , , ",1.9480519480519605,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-5,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",0.0,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-5,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm,$$(Confirmed)$$:EMA6<EMA14, , ",-1.9191919191919249,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-5,(weekHighGTweek2High),(Recent), , , ",2.7777777777777675,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-5,(weekHighGTweek2High),(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",-0.6417582941963244,2
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-5,(weekHighGTweek2High),(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm,$$(Confirmed)$$:EMA6<EMA14, , ",0.992063492063492,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-5,(weekHighGTweek2High),(Recent), ,$$(Confirmed)$$:EMA6>EMA14, , ",1.0975609756097482,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-5,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High),(Recent), , , ",-2.8174603174603114,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7, , , ",0.03987240829345866,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm, , ",-0.16310257339615392,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7, ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",1.76712328767123,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(Recent), , , ",-0.47615172226083397,3
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm, , ",-0.5932203389830533,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",-2.5630593978844636,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(Recent), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:DowningMA-Confirm, , ",0.40404040404040975,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(Recent), ,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",6.712962962962959,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(Recent),BreakHighMonth,HighMonthGT0,(weekHighGTweek2High), , , ",-3.9692183070068903,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(weekHighGTweek2High), , , ",0.7960424823764842,4
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(weekHighGTweek2High), ,$$(Confirmed)$$:EMA6<EMA14, , ",4.539144919489179,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,(weekHighGTweek2High),(Recent), , , ",-3.044871794871793,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), , , ",-0.29428010496176654,3
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,BreakHighMonth3,HighMonth3GT0,(Recent), , , ",-1.2591815320042004,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT-7,BreakHighMonth3,HighMonth3GT2,(weekHighGTweek2High),(Recent), , , ",-0.45871559633028175,1
"PCTChangeEQ0, ,NearHighMonth6,HighMonth6LT0,(Recent), ,$$(Study)$$:DowningMA-Risky, , ",16.06714628297361,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",1.3698630136986407,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-2,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",-0.6280193236715031,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-2,(weekHighGTweek2High),(Recent), , , ",-0.6114691786481649,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-2,BreakHighMonth3,HighMonth3GT0,(weekHighGTweek2High),(Recent), , , ",-3.0434782608695623,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-2,BreakHighMonth6,HighMonth6GT2,(weekHighGTweek2High),(Recent), , , ",-2.7911969940955537,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-5,(Recent), ,$$(Study)$$:DowningMA, , ",0.2941176470588161,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-5,(weekHighGTweek2High), , , ",3.4219848639364425,2
"PCTChangeEQ0, ,NearHighYear,HighYearLT-5,(weekHighGTweek2High),(Recent), , , ",1.1172676030706898,2
"PCTChangeEQ0, ,NearHighYear,HighYearLT-7, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",-3.5244256078518874,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-7, ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",0.06676458806249165,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-7,(Recent), , , ",-0.2596480240979591,4
"PCTChangeEQ0, ,NearHighYear,HighYearLT-7,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",0.5180916644331318,2
"PCTChangeEQ0, ,NearHighYear,HighYearLT-7,(weekHighGTweek2High),(Recent), , , ",4.5,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-7,(weekHighGTweek2High),(Recent), ,$$(Confirmed)$$:EMA6>EMA14, , ",0.25542784163474186,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-7,BreakHighMonth,HighMonthGT5,(weekHighGTweek2High),(Recent), , , ",-1.7593643586833112,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT-7,BreakHighMonth6,HighMonth6GT2,(weekHighGTweek2High),(Recent), , , ",-0.8866995073891681,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT0,(Recent), , , ",-0.46874999999999556,1
"PCTChangeEQ0, ,NearHighYear,HighYearLT0,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",0.4636785162287436,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA, , ",-3.6206896551724177,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2, ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm,$$(Confirmed)$$:EMA6<EMA14, , ",-1.4137931034482707,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(Recent), , , ",0.4864542280847488,4
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA, , ",0.05652591588698389,3
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",-0.8336491095111743,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",-1.1627906976744187,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(Recent), ,$$(Study)$$:DowningMA, , ",1.0355029585798787,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(weekHighGTweek2High), , , ",-1.4711892112791265,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(weekHighGTweek2High),(Recent), , , ",-3.343295676112391,2
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(weekHighGTweek2High),(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",0.5724531591847498,2
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(weekHighGTweek2High),(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",-0.43307086614173,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,(weekHighGTweek2High),(Recent), ,$$(Confirmed)$$:EMA6>EMA14, , ",0.8610567514677059,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High),(Recent), , , ",-0.4231311706628996,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-2,BreakHighMonth6,HighMonth6GT7,(weekHighGTweek2High),(Recent), , , ",4.97737556561085,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5, , , ",0.38319419734500537,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA, , ",2.799999999999997,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5, ,$$(Study)$$:DowningMA-Risky, , ",0.34121661371925843,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5,(Recent), , , ",-0.09514747859181191,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm, , ",-3.5714285714285796,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",0.22607580178139225,2
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5,(Recent), ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ",0.3717201166180692,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5,(Recent), ,$$(Study)$$:DowningMA-Risky, , ",0.038729666924858575,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5,(weekHighGTweek2High),(Recent), , , ",0.8455121395498004,4
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-5,BreakHighMonth6,HighMonth6GT0,(weekHighGTweek2High),(Recent), , , ",-1.8731988472622478,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-7, ,$$(Study)$$:DowningMA, , ",-1.6952513135719265,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-7,(Recent), , , ",-0.4585954305448056,9
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-7,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA, , ",-0.5989518342899869,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-7,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",-0.6221401865374514,2
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-7,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",-3.535986125831009,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-7,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",0.11903434941812885,3
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-7,(Recent), ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ",-1.1403421026307983,1
"PCTChangeEQ0, ,NearHighYear2,HighYear2LT-7,(weekHighGTweek2High), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",0.6687647521636574,1
